lsoa,N,status
E01030313,9,outside_london
E01016031,9,outside_london
E01030347,9,outside_london
E01015795,9,outside_london
E01030731,9,outside_london
E01030367,9,outside_london
E01030605,9,outside_london
E01015929,9,outside_london
E01015285,9,outside_london
E01021470,9,outside_london
E01021627,9,outside_london
E01021812,9,outside_london
E01030644,9,outside_london
E01030756,9,outside_london
E01023563,9,outside_london
E01015794,9,outside_london
E01015979,9,outside_london
E01033617,9,outside_london
E01021845,9,outside_london
E01021862,9,outside_london
E01030949,9,outside_london
E01030613,9,outside_london
E01023829,9,outside_london
E01021461,9,outside_london
E01024296,9,outside_london
E01023554,9,outside_london
E01016061,9,outside_london
E01023775,9,outside_london
E01023868,9,outside_london
E01030354,9,outside_london
E01016006,9,outside_london
E01021602,9,outside_london
E01023704,9,outside_london
E01024166,9,outside_london
E01030667,9,outside_london
E01016074,9,outside_london
E01030562,9,outside_london
E01021476,9,outside_london
E01023378,9,outside_london
E01023828,9,outside_london
E01030391,9,outside_london
E01030402,9,outside_london
E01021444,9,outside_london
E01030608,9,outside_london
E01030304,9,outside_london
E01016442,9,outside_london
E01016455,9,outside_london
E01033499,9,outside_london
E01030603,9,outside_london
E01024433,9,outside_london
E01023920,9,outside_london
E01021843,9,outside_london
E01016129,9,outside_london
E01021323,9,outside_london
E01024282,9,outside_london
E01015785,9,outside_london
E01023577,9,outside_london
E01021558,9,outside_london
E01023314,9,outside_london
E01027202,9,outside_london
E01016358,9,outside_london
E01035364,9,outside_london
W01002019,9,outside_london
E01021809,8,outside_london
E01006696,8,outside_london
E01030700,8,outside_london
W01000822,8,outside_london
E01030361,8,outside_london
E01021782,8,outside_london
E01024419,8,outside_london
E01017140,8,outside_london
E01023843,8,outside_london
E01016008,8,outside_london
E01023848,8,outside_london
E01033194,8,outside_london
E01017799,8,outside_london
E01023800,8,outside_london
E01023825,8,outside_london
E01023565,8,outside_london
E01033011,8,outside_london
E01016024,8,outside_london
E01024141,8,outside_london
E01023514,8,outside_london
E01024303,8,outside_london
E01016034,8,outside_london
E01030635,8,outside_london
E01016488,8,outside_london
E01017139,8,outside_london
E01032732,8,outside_london
E01032620,8,outside_london
E01030394,8,outside_london
E01024280,8,outside_london
E01020978,8,outside_london
E01029985,8,outside_london
E01033748,8,outside_london
E01033087,8,outside_london
E01016130,8,outside_london
E01024469,8,outside_london
E01023886,8,outside_london
E01032968,8,outside_london
E01016021,8,outside_london
E01017823,8,outside_london
E01015973,8,outside_london
E01021465,8,outside_london
E01021778,8,outside_london
E01016516,8,outside_london
E01030812,8,outside_london
E01015968,8,outside_london
E01017699,8,outside_london
E01024044,8,outside_london
E01007529,8,outside_london
E01030681,8,outside_london
E01016507,8,outside_london
E01023720,8,outside_london
E01015721,8,outside_london
E01030559,8,outside_london
E01033215,8,outside_london
E01017834,8,outside_london
E01015851,8,outside_london
E01030672,8,outside_london
E01023346,8,outside_london
E01023911,8,outside_london
E01022630,8,outside_london
E01021799,8,outside_london
E01016506,8,outside_london
E01021772,8,outside_london
E01016597,8,outside_london
E01024429,8,outside_london
E01021327,8,outside_london
E01024420,8,outside_london
E01017845,8,outside_london
E01028331,8,outside_london
E01023354,8,outside_london
E01030372,8,outside_london
E01015719,8,outside_london
E01017619,8,outside_london
E01023479,8,outside_london
E01017839,8,outside_london
E01024479,8,outside_london
E01030734,8,outside_london
E01022050,8,outside_london
E01022025,8,outside_london
E01024032,8,outside_london
E01023963,8,outside_london
E01024561,8,outside_london
E01021286,8,outside_london
E01023552,8,outside_london
E01030551,8,outside_london
E01023857,8,outside_london
