borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2014,life_expectancy_65_male,17.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2012 to 2014 assigned to END year; higher_is_better; 95% CI 16.8-17.8"
E09000002,Barking and Dagenham,2014,life_expectancy_birth_female,82,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2012 to 2014 assigned to END year; higher_is_better; 95% CI 81.4-82.5"
E09000002,Barking and Dagenham,2014,life_expectancy_birth_male,77.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2012 to 2014 assigned to END year; higher_is_better; 95% CI 76.9-78"
E09000002,Barking and Dagenham,2015,life_expectancy_65_female,20.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2013 to 2015 assigned to END year; higher_is_better; 95% CI 19.7-20.5"
E09000002,Barking and Dagenham,2015,life_expectancy_65_male,17.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2013 to 2015 assigned to END year; higher_is_better; 95% CI 16.7-17.6"
E09000002,Barking and Dagenham,2015,life_expectancy_birth_female,81.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2013 to 2015 assigned to END year; higher_is_better; 95% CI 81.2-82.2"
E09000002,Barking and Dagenham,2015,life_expectancy_birth_male,77.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2013 to 2015 assigned to END year; higher_is_better; 95% CI 76.8-78"
E09000002,Barking and Dagenham,2016,life_expectancy_65_female,20.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2014 to 2016 assigned to END year; higher_is_better; 95% CI 19.8-20.7"
E09000002,Barking and Dagenham,2016,life_expectancy_65_male,17.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2014 to 2016 assigned to END year; higher_is_better; 95% CI 16.7-17.6"
E09000002,Barking and Dagenham,2016,life_expectancy_birth_female,81.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2014 to 2016 assigned to END year; higher_is_better; 95% CI 81.3-82.3"
E09000002,Barking and Dagenham,2016,life_expectancy_birth_male,77.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2014 to 2016 assigned to END year; higher_is_better; 95% CI 76.9-78"
E09000002,Barking and Dagenham,2017,life_expectancy_65_female,20.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2015 to 2017 assigned to END year; higher_is_better; 95% CI 19.8-20.7"
E09000002,Barking and Dagenham,2017,life_expectancy_65_male,17.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2015 to 2017 assigned to END year; higher_is_better; 95% CI 16.8-17.7"
