borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000003,Barnet,1999,income_median,18700,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; analysis metric
E09000003,Barnet,1999,income_taxpayers,161000,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
E09000003,Barnet,2000,income_mean,30800,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000003,Barnet,2000,income_median,19400,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; analysis metric
E09000003,Barnet,2000,income_taxpayers,156000,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000003,Barnet,2001,income_mean,30400,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000003,Barnet,2001,income_median,18700,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; analysis metric
E09000003,Barnet,2001,income_taxpayers,159000,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000003,Barnet,2002,income_mean,32300,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000003,Barnet,2002,income_median,19700,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; analysis metric
E09000003,Barnet,2002,income_taxpayers,150000,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000003,Barnet,2003,income_mean,33900,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000003,Barnet,2003,income_median,20000,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; analysis metric
E09000003,Barnet,2003,income_taxpayers,150000,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000003,Barnet,2004,income_mean,32800,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000003,Barnet,2004,income_median,19900,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; analysis metric
