borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000007,Camden,2024,crime_rate_per_1000,234.95,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2011,crime_rate_per_1000,1010.93,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2012,crime_rate_per_1000,969.92,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2013,crime_rate_per_1000,857.9,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2014,crime_rate_per_1000,844.85,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2015,crime_rate_per_1000,791.21,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2016,crime_rate_per_1000,855.24,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2017,crime_rate_per_1000,928.15,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2018,crime_rate_per_1000,1009.68,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2019,crime_rate_per_1000,1132.92,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2020,crime_rate_per_1000,679.15,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2021,crime_rate_per_1000,738.29,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2022,crime_rate_per_1000,765.3,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2023,crime_rate_per_1000,698.37,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000001,City of London,2024,crime_rate_per_1000,670.97,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2011,crime_rate_per_1000,132.87,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2012,crime_rate_per_1000,124.95,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2013,crime_rate_per_1000,106.81,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2014,crime_rate_per_1000,97.1,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2015,crime_rate_per_1000,94.44,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2016,crime_rate_per_1000,99.04,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2017,crime_rate_per_1000,97.67,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
