borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000028,Southwark,2015,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2015,imd_health_deprivation_and_disability_score,0.3,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2015,imd_income_score,0.2,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2015,imd_living_environment_score,41.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_barriers_to_housing_and_services_score,32.7,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_education_skills_and_training_score,11.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_health_deprivation_and_disability_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_income_score,0.2,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2019,imd_living_environment_score,36,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_barriers_to_housing_and_services_score,19.8,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_education_skills_and_training_score,12.6,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_health_deprivation_and_disability_score,-0.5,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_income_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2015,imd_living_environment_score,19.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_barriers_to_housing_and_services_score,22.8,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_education_skills_and_training_score,12,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_health_deprivation_and_disability_score,-0.6,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_income_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000029,Sutton,2019,imd_living_environment_score,21.3,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
